,x,y,z,tag
0,31.554199999999998,0.2,0.598232,1.0
1,31.4594,0.275882,0.492126,1.0
2,31.3134,0.19456,0.46516,1.0
3,31.1228,0.0772404,0.485448,1.0
4,30.922800000000002,0.01188382,0.503212,1.0
5,30.7334,-0.028964200000000002,0.51549,1.0
6,30.556599999999996,-0.057629,0.537376,1.0
7,30.387999999999998,-0.067733,0.573078,1.0
8,30.2252,-0.0608522,0.607734,1.0
9,30.067200000000003,-0.053666599999999995,0.6220519999999999,1.0
10,29.913400000000003,-0.05719919999999999,0.606998,1.0
11,29.761599999999998,-0.0693126,0.568504,1.0
12,29.6098,-0.0773662,0.520124,1.0
13,29.463,-0.0679738,0.46425799999999995,1.0
14,29.330000000000002,-0.0466926,0.392304,1.0
15,29.206200000000003,-0.033749600000000005,0.307494,1.0
16,29.0716,-0.0352624,0.225914,1.0
17,28.916800000000002,-0.029869600000000003,0.1540384,1.0
18,28.755000000000003,0.00825708,0.0890108,1.0
19,28.6042,0.0685544,0.0388136,1.0
20,28.47,0.10549299999999999,0.014449,1.0
21,28.345999999999997,0.0953674,0.00956944,1.0
22,28.218400000000003,0.060843400000000006,0.01094704,1.0
23,28.074400000000004,0.030103799999999997,0.015126839999999999,1.0
24,27.9142,0.00948942,0.0234244,1.0
25,27.748200000000004,-0.000122626,0.0327862,1.0
26,27.5854,-0.0001322268,0.0401852,1.0
27,27.429000000000002,-0.00622462,0.0557886,1.0
28,27.278399999999998,-0.0258548,0.10045660000000001,1.0
29,27.131,-0.043680000000000004,0.18076419999999999,1.0
30,26.984199999999998,-0.0472084,0.27604,1.0
31,26.8358,-0.0369368,0.354712,1.0
32,26.6878,-0.023499,0.397772,1.0
33,26.5452,-0.0227994,0.403072,1.0
34,26.4104,-0.0350734,0.37330399999999997,1.0
35,26.2754,-0.0468922,0.32096800000000003,1.0
36,26.129199999999997,-0.052532999999999996,0.271094,1.0
37,25.9686,-0.0537326,0.23744800000000002,1.0
38,25.799200000000003,-0.0551084,0.22327,1.0
39,25.631400000000003,-0.06226859999999999,0.24235199999999998,1.0
40,25.475,-0.07112,0.302112,1.0
41,25.331,-0.073652,0.379778,1.0
42,25.1918,-0.0741132,0.44290599999999997,1.0
43,25.0494,-0.0800564,0.483474,1.0
44,24.901400000000002,-0.0890498,0.516692,1.0
45,24.7454,-0.0939552,0.545552,1.0
46,24.580000000000002,-0.08736859999999999,0.554198,1.0
47,24.409,-0.0641236,0.544612,1.0
48,24.241,-0.0223414,0.5379780000000001,1.0
49,24.087600000000002,0.0393692,0.544444,1.0
50,23.9536,0.10511219999999999,0.557944,1.0
51,23.8298,0.1388512,0.5658019999999999,1.0
52,23.7046,0.126149,0.563314,1.0
53,23.572,0.08648900000000001,0.56554,1.0
54,23.4296,0.0429854,0.592132,1.0
55,23.2806,0.00699626,0.649108,1.0
56,23.1378,-0.0210604,0.7393080000000001,1.0
57,23.0106,-0.0414678,0.8618180000000001,1.0
58,22.8852,-0.051239999999999994,0.9885759999999999,1.0
59,22.7414,-0.051638399999999994,1.0749840000000002,1.0
60,22.5784,-0.039875,1.099506,1.0
61,22.412799999999997,-0.00442936,1.07362,1.0
62,22.2558,0.057343599999999995,1.027994,1.0
63,22.1068,0.13493059999999998,1.00742,1.0
64,21.9664,0.21188400000000002,1.0404579999999999,1.0
65,21.8298,0.257378,1.102106,1.0
66,21.6934,0.24431799999999998,1.161726,1.0
67,21.566399999999998,0.1870202,1.233794,1.0
68,21.4392,0.1234316,1.317496,1.0
69,21.288800000000002,0.08527660000000001,1.3764699999999999,1.0
70,21.1268,0.0927694,1.417502,1.0
71,20.9884,0.12796659999999999,1.4840360000000001,1.0
72,20.8802,0.145936,1.581964,1.0
73,20.775,0.1365868,1.6744420000000002,1.0
74,20.645599999999998,0.117927,1.721356,1.0
75,20.4884,0.0957774,1.718592,1.0
76,20.3146,0.0825222,1.702022,1.0
77,20.1372,0.09837860000000001,1.7013639999999999,1.0
78,19.96928,0.1349556,1.721346,1.0
79,19.81982,0.165971,1.762998,1.0
80,19.68724,0.17331259999999998,1.8239260000000002,1.0
81,19.5619,0.1440704,1.885404,1.0
82,19.43198,0.0827712,1.912406,1.0
83,19.28876,0.0216804,1.879046,1.0
84,19.130860000000002,-0.00677872,1.804202,1.0
85,18.9631,0.0068388400000000005,1.738832,1.0
86,18.79054,0.0464218,1.7104120000000003,1.0
87,18.6189,0.079704,1.695544,1.0
88,18.46472,0.08679,1.6467759999999998,1.0
89,18.34916,0.072219,1.540596,1.0
90,18.26756,0.045394000000000004,1.3968479999999999,1.0
91,18.186799999999998,0.01222368,1.250208,1.0
92,18.079720000000002,-0.01621198,1.120364,1.0
93,17.94152,-0.029577199999999998,1.018722,1.0
94,17.7791,-0.0272388,0.962684,1.0
95,17.60334,-0.00594248,0.961002,1.0
96,17.430600000000002,0.0394648,0.981784,1.0
97,17.284299999999998,0.0920136,0.9623459999999999,1.0
98,17.18076,0.12269719999999999,0.868952,1.0
99,17.101480000000002,0.12329280000000001,0.727466,1.0
100,16.99926,0.1067096,0.589976,1.0
101,16.849719999999998,0.1007282,0.487854,1.0
102,16.6712,0.1379046,0.42317799999999994,1.0
103,16.49298,0.224132,0.39163000000000003,1.0
104,16.333660000000002,0.34254799999999996,0.389628,1.0
105,16.19208,0.473808,0.405072,1.0
106,16.04496,0.584784,0.42001600000000006,1.0
107,15.872399999999999,0.641992,0.425156,1.0
108,15.683019999999999,0.6650780000000001,0.423154,1.0
109,15.515360000000001,0.729692,0.40789400000000003,1.0
